emo_id,user_comments
54,了 是 ECMO 能 国家 中国 有 邮政 医生 设备 到 医疗 德国 要 在 还 科技 发明 更多 生产 武汉 人 上 患者 出来 活 重症 应该 疫情 C 点 快递 加大 意思 Maquet 答案 转型 问题 医院 微博 冲上 哲好 希望 深情 虚假 数据 可贵 A 加油 可以
55,了 是 有 子女 能 独生 没有 假 要 出台 人 看 会 工作 想 看成 政策 护理假 说 单位 可以 到 落实 在 父母 @ / 给 企业 还 地 请 休 天 国家 大 河北 工资 时候 谁 成台 公司 多 标题 没 孩子 照顾 山东 上 明确
56,移动 了 是 电信 中国 要 宽带 说 没有 能 真的 有 电话 套餐 云南 昆明 还 公司 联通 业务 可以 吗 投诉 到 上 好 坑 网络 垃圾 给 让 五颜六色 想 客服 打电话 人 打 该 多 骚扰 消费者 长城 吧 会 流量 话费 还有 去 信息 转网
57,是 看 春晚 # 老兵 可以 人 舞台 退伍 让 背 @ 能 好 有 兵哥哥 致敬 付出 哥哥 辛苦 要 流量 应该 武警 为 对 安排 点赞 希望 大同 军人 家人 16年 搞 来 时候 西装 感谢 真的 董卿 着光 像 牢记 山西 冰雪 转 向后 上 关系 人民
58,了 是 - 人民 人 有 加油 湖北 来 武汉 好 感谢 中国 支援 辛苦 山东 要 去 疫情 真的 能 会 江苏 政府 河南 在 希望 孝感 黄冈 四川 大 谢谢 上海 到 说 给 国家 时候 省 荆门 为 包 重庆 多 汶川 地震 安徽 帮助 ][ 浙江
59,了 中国 是 慰问 # 国家 有 疫情 来 时候 想 外国人 会 要 条例 反对 人 美国 管理 好 居留 能 口罩 吧 人民 在 坚决 去 世界 给 可以 多 援助 开始 帮助 物资 没有 支持 让 说 谁 + 上 : 还 🇨🇳 可能 支援 表示 全球
60,了 开学 @ 学校 是 能 大学 山东 返校 想 真的 开 没有 要 学生 河北 可以 北京 教育厅 宿舍 回去 四川 通知 江苏 有 时候 自愿 毕业 还 说 大 福建 回 去 呢 网课 上 到 年级 无 重庆 毕业生 学院 让 南京 看看 人 希望 全国 师范
61,: @ 了 回复 武汉 是 人 有 去 加油 说 会 要 能 好 口罩 想 没有 让 在 吃 看 还 到 病毒 真的 鱼余 鱼鱼鱼 余鱼 多 希望 人民 气死 时候 医院 医生 大 起来 coisini-YJ 不是 刘澜 这 可以 中国 野味 知道 视角 上 戴 政府
62,了 办 @ 是 能 去 要 结婚 有 想 婚礼 可以 酒席 人 婚宴 禁止 疫情 吗 好 让 酒店 没有 # 还 参加 朋友 时候 大 喝 喜酒 吃 延期 在 山东 多 份子钱 真的 希望 说 会 开始 还有 地 应该 到 觉得 山西 吃饭 亲戚 给
63,是 好 周冬雨 可爱 @ 真的 啊 有 眼睛 看 时候 小 感觉 # 喜欢 清纯 像 好看 演技 人 会 可 大 没有 说 真是 灵气 水灵 评论 变化 觉得 爱 冬雨 出道 去 变 _ 吗 眼光 好的 起来 电影 真 美 可以 让 漂亮 开始 演员 角色
64,了 是 @ 牛逼 四川 要 吗 吃 人 能 - 复工 武汉 看 红十字会 说 有 好 哥哥 姐姐 人民 宝贝 给 到 吧 起来 去 加油 在 评论 会 让 东西 多 成都 延期 医院 = 口罩 想 物资 大 央视 红十字 开始 时候 3号 上班 过 还
65,了 是 会员 腾讯 续费 看 视频 有 取消 微博 还有 还 要 能 广告 开 音乐 付费 真的 说 通知 可以 没有 买 吗 扣费 会 爱奇艺 vip 扣 @ # 苹果 月 吃 手机 难看 吃相 想 网盘 时候 VIP 优酷 人 上 到 客服 app 出来 在
66,是 了 有 人 中国 美国 回来 会 孩子 能 祖国 上海 吗 出去 去 国家 要 说 小 在 教育 留学生 好 为 回国 隔离 没有 让 送 @ 留学 爱国 出国 知道 做 希望 想 父母 评论 疫情 多 大学 真的 看 可以 时候 大 回家 还 唱
67,了 是 回来 中国 祖国 人 有 隔离 会 美国 留学生 欢迎 能 教育 回家 孩子 国家 留学 说 要 在 好 让 接 真的 小 出国 多 希望 做 去 时候 接受 出去 还 疫情 配合 上 杭州 来 报效 看 想 回国 到 长大 大 送 可能 一样
68,火星 了 地球 是 有 好 会 去 上 能 人类 看 到 想 宇宙 真的 要 人 星球 像 可能 没有 可以 感觉 生命 在 生物 存在 保护 文明 外星人 神奇 美 觉得 移民 : 看到 拍 起来 来 做 一样 知道 ⁶⁶ 样子 科技 过 像素 生活 应该
69,了 是 人 军人 有 兵哥哥 感动 @ 盒饭 看到 在 人民 上 可爱 祖国 国家 真的 中国 时候 能 给 好 女士 到 看 爱 为 买 好看 # 大 新兵 会 应该 点赞 哥哥 想 要 字 生活 年纪 高铁 满满 谢谢 军民 ][ 对 吃 多 希望
70,了 是 恋爱 爱情 人 @ 会 有 谈 想 喜欢 爱 能 可以 好 没有 要 过 到 结婚 时候 去 相信 年龄 在 找 觉得 知道 希望 时 看 说 合适 真的 让 开始 现实 遇到 上 感觉 考虑 可能 多 生活 物质 _ 成熟 评论 做 给
71,了 朱一龙 # 是 @ 有 岁月 吴亦凡 人 好看 气质 真的 评论 天神 30岁 好 ReFa 男人 新 成熟 引力 ] [ 超话 帅 配图 多 小 变 爱情 没有 看 还 魅力 让 拥有 可爱 Mr_凡 年轻 哈哈 区别 会 善待 想 爱 温柔 哥哥 先生 ( )
72,郑爽 是 了 @ 好看 评论 好 真的 清纯 配图 小 去 时尚 杂志 旅游 仙女 看 让 爱 美 小爽 可爱 有 郑爽S 买 Z 漂亮 喜欢 上 人 小仙 时候 ❤郑 爽❤ 来 可 美好 期待 沈阳 姐姐 流星雨 新 想 限时 迎 哦 大本营 预售 生活 z
73,了 可爱 是 有 好 @ 去 呜呜 看 真的 评论 小 喜欢 起风 爱 怀念 男孩 在 毕业 人 时间 18年 会 佳佳 女孩 飞行 出道 镇魂 配图 还有 起来 想 认识 时候 没有 大厂 快乐 纸短情长 高中 + 美好 歌 朋友 哈哈 那 可 生日 到 吃 高考
74,了 开学 是 河北 想 广东 天津 能 要 时候 呢 重庆 没有 江苏 湖北 有 大学 开 学校 真的 时间 上 大 还 北京 上海 在 退出 来 高三 说 山东 武汉 知道 孩子 大学生 好 群聊 戴 疫情 配 看 人 问 在家 到 云南 口罩 学生 谁
75,@ 想 有 是 人 哈哈 病毒 吃 好 玩 看 说 可爱 出去 要 人民 疫情 评论 口罩 : 听见 让 爱 中国 河南 能 敢 去 老奶奶 平安 警察 订购 善良 会 _ 温暖 多 热评 英雄 喝 希望 老百姓 远 没有 请 查查 好人 - 近 送
76,看 了 是 @ 去 电影 想 看完 有 能 要 引进 真的 寄生虫 电影院 会 过 可以 值得 疫情 影院 好 期待 上 看到 中国 到 不错 人 好看 希望 奥斯卡 资源 战争 时候 - 镜 感觉 在 上映 支持 _ 以为 到底 小丑 看看 应该 说 长镜头 哦
